Route32CooltrainerMText_WhatsTheHurry:	;;No.00933 [D:0x0012C2A6] [L:26]
	para "엥? 뭐라고? 포켓몬 승부?"
	line "전화하고 있는데"
	cont "좋아 팍팍 끝내줄 테니까"
	done
	
	
	
PicnickerLiz1BeatenText:	
	text "Oh! I've got to"
	line "relieve my anger!"
	done
	
PicnickerLiz1AfterText:	
	text "재미있게 이야기를 하고 있었는데"
	done
	
	
Bird_keeperPeterSeenText:	;;No.00969 [D:0x0012CAB9] [L:77]
	text "얼라리 그 배지는……"
	
	para "도라지시티 체육관의 배지!"
	line "너 비상님에게 이겼단말인가!"
	done
	
Bird_keeperPeterBeatenText:	;;No.00970 [D:0x0012CB07] [L:25]
	text "자신의 미숙함을 알았다!"
	done
	
	
Bird_keeperPeterAfterText:	;;No.00971 [D:0x0012CB21] [L:43]
	text "도라지시티 체육관에서"
	line "새로 단련이나 해볼까"
	done
	
	
Route32UnusedText:	;;No.00972 [D:0x0012CB4D] [L:40]
	text "낚시 훼방꾼!"
	line "이라고 야단맞아버렸어……"
	done
	
	
Text_RoarIntro:	;;No.00973 [D:0x0012CB76] [L:100]
	text "우오오옷!"
	
	para "소리치면 모두 도망치지만"
	line "너는 와주었다아앗!"
	cont "감동했다아아!"
	cont "이것을 가지고 가거라아아앗!"
	done
	
	
	
Text_RoarOutro:	;;No.00974 [D:0x0012CBDB] [L:60]
	text "우오오옷!"
	line "내용물은 울부짖기"
	cont "울부짖으면 포켓몬도 도망친단다"
	done
	
	
	
MeetFriedaText:	;;No.00975 [D:0x0012CC18] [L:50]
	text "금순『얏호-!"
	
	para "나는 금요일의 금순!"
	line "잘 부탁해-!"
	done
	
	
	
	
FriedaGivesGiftText:	;;No.00976 [D:0x0012CC4B] [L:31]
	text "자 여기 독바늘!"
	line "너에게 줄께!"
	done
	
FriedaGaveGiftText:	;;No.00977 [D:0x0012CC6B] [L:100]
	text "금순『독타입의 기술을 배운"
	line "포켓몬에게 지니게 해봐!"
	
	para "앗!"
	
	para "하고 놀랄꺼야!"
	
	para "기술의 위력이 강해지니까!"
	done
	
	
	
	
FriedaFridayText:	;;No.00978 [D:0x0012CCD0] [L:94]
	text "금순『이봐 친구!"
	line "너는 무슨 요일이 좋니?"
	
	para "나는 금요일이란다!"
	line "절대로!"
	
	para "그렇게 생각하지 않니?"
	done
	
	
FriedaNotFridayText:	;;No.00979 [D:0x0012CD2F] [L:44]
	text "금순『오늘은 금요일이"
	line "아니라구?"
	cont "재미없어-"
	done
	
	
	
Route32SignText:	;;No.00980 [D:0x0012CD5C] [L:42]
	text "이곳은 32번 도로"
	line "도라지시티 …… 고동마을"
	done
	
	
	
Route32RuinsSignText:	;;No.00981 [D:0x0012CD87] [L:22]
	text "알프의 유적"
	line "동쪽 입구"
	done
	
Route32UnionCaveSignText:	;;No.00982 [D:0x0012CD9E] [L:17]
	text "이 앞은 연결동굴"
	done
